rank,Longitude,Latitude,Time,Temperature,Depth,Vessel_name,Profil_id
302,5.340799808502197,60.82429885864258,19687.282349537036,8.014,204,AA,203
303,5.364500045776367,60.86669921875,19687.31769675926,8.022,204,AA,205
304,5.465799808502197,60.880699157714844,19687.35542824074,8.044,204,AA,210
305,5.307000160217285,61.08150100708008,19649.426550925924,7.765000000000001,205,AA,200
306,5.307000160217285,61.08150100708008,19649.456597222223,,205,AA,200
307,5.559700012207031,60.87070083618164,19650.209328703702,,205,AA,215
308,5.386199951171875,60.87179946899414,19650.403171296297,8.044,205,AA,206
309,5.47130012512207,60.88199996948242,19650.647696759257,8.063,205,AA,211
310,5.347499847412109,60.84880065917969,19650.99832175926,8.025,205,AA,204
311,5.316699981689453,60.80619812011719,19651.030208333334,,205,AA,201
312,5.317299842834473,60.80619812011719,19651.379756944447,,205,AA,202
313,5.168700218200684,60.685699462890625,19652.187280092592,6.414,205,AA,194
314,5.168700218200684,60.685699462890625,19652.5134375,6.413,205,AA,194
315,5.215000152587891,60.65620040893555,19652.67042824074,6.414,205,AA,196
316,5.255799770355225,60.624298095703125,19652.937997685185,,205,AA,199
317,5.091300010681152,60.71220016479492,19653.09107638889,6.4110000000000005,205,AA,193
318,5.05620002746582,60.72549819946289,19653.734733796296,,205,AA,191
319,5.055799961090088,60.725799560546875,19653.749270833334,,205,AA,190
320,5.038300037384033,60.73350143432617,19653.932997685184,,205,AA,189
321,6.869800090789795,57.63370132446289,19668.302037037036,7.827,205,AA,242
322,6.361199855804443,57.650299072265625,19668.441435185185,,205,AA,233
323,5.934700012207031,57.6682014465332,19668.548333333332,,205,AA,223
324,5.857699871063232,57.76169967651367,19668.622893518517,,205,AA,220
325,5.957200050354004,57.92319869995117,19668.719050925927,8.169,205,AA,225
326,6.554200172424316,58.16080093383789,19668.89613425926,7.974,205,AA,238
327,6.0346999168396,58.29100036621094,19669.012800925924,8.186,205,AA,226
328,5.776199817657471,58.2859992980957,19669.096412037037,7.932,205,AA,218
329,5.483799934387207,58.33649826049805,19669.186550925926,8.298,205,AA,212
330,5.461699962615967,58.40380096435547,19669.288194444445,8.249,205,AA,209
331,5.572000026702881,58.561798095703125,19669.387314814816,8.115,205,AA,216
332,5.415299892425537,58.58919906616211,19669.46125,7.843,205,AA,208
333,5.242000102996826,58.590301513671875,19669.54097222222,7.5920000000000005,205,AA,198
334,4.980800151824951,58.660499572753906,19669.623726851853,7.525,205,AA,187
335,4.6427001953125,58.54280090332031,19669.744930555556,7.6000000000000005,205,AA,179
336,4.517000198364258,58.891998291015625,19669.888703703702,7.368,205,AA,175
337,4.9166998863220215,58.932701110839844,19670.003194444445,7.974,205,AA,185
338,5.173799991607666,58.94049835205078,19670.097962962962,7.563,205,AA,195
339,4.348700046539307,58.383201599121094,19672.30861111111,8.054,205,AA,172
340,4.155300140380859,58.33980178833008,19672.42976851852,,205,AA,167
341,4.786499977111816,58.20830154418945,19672.63351851852,7.931,205,AA,181
342,6.409200191497803,57.98030090332031,19673.457476851854,7.92,205,AA,234
343,5.783299922943115,58.94419860839844,19682.974791666667,7.519,205,AA,219
344,6.076900005340576,58.89459991455078,19683.289097222223,,205,AA,228
345,6.274400234222412,59.00320053100586,19683.34252314815,7.333,205,AA,232
346,6.495800018310547,59.03179931640625,19683.391180555554,7.348,205,AA,235
347,6.630199909210205,59.05139923095703,19683.43263888889,,205,AA,240
348,5.8653998374938965,58.984901428222656,19683.559675925924,7.3870000000000005,205,AA,221
349,5.869500160217285,59.067501068115234,19683.598541666666,,205,AA,222
350,6.074999809265137,59.39590072631836,19683.774791666667,,205,AA,227
351,6.259300231933594,59.507999420166016,19683.833819444444,7.55,205,AA,231
352,5.941999912261963,59.309600830078125,19683.93388888889,7.477,205,AA,224
353,5.551499843597412,59.16559982299805,19684.02965277778,7.828,205,AA,214
354,6.543499946594238,60.081199645996094,19685.29045138889,,205,AA,236
355,6.547800064086914,60.12200164794922,19685.31355324074,,205,AA,237
356,6.564199924468994,60.17020034790039,19685.341608796294,7.37,205,AA,239
357,6.633999824523926,60.32500076293945,19685.397696759257,7.382000000000001,205,AA,241
358,4.7891998291015625,60.856300354003906,19686.994618055556,8.897,205,AA,182
